iter	Passed	Remaining
840	27448	5156
841	27477	5123
842	27504	5089
843	27537	5057
844	27573	5025
845	27658	5001
846	27778	4985
847	27839	4957
848	27888	4927
849	27915	4893
850	27945	4860
851	27972	4826
852	27996	4791
853	28024	4758
854	28049	4724
855	28077	4690
856	28109	4657
857	28138	4624
858	28168	4590
859	28208	4559
860	28240	4526
861	28267	4492
862	28294	4458
863	28323	4425
864	28350	4391
865	28377	4358
866	28401	4324
867	28427	4290
868	28456	4257
869	28481	4223
870	28506	4189
871	28529	4155
872	28555	4121
873	28579	4087
874	28605	4053
875	28631	4020
876	28658	3986
877	28686	3953
878	28715	3920
879	28746	3887
880	28775	3854
881	28801	3820
882	28827	3787
883	28859	3754
884	28886	3721
885	28914	3687
886	28943	3654
887	28972	3621
888	28999	3588
889	29025	3554
890	29053	3521
891	29079	3488
892	29107	3455
893	29135	3421
894	29166	3389
895	29211	3358
896	29240	3324
897	29269	3292
898	29296	3258
899	29324	3225
900	29354	3192
901	29382	3159
902	29411	3126
903	29439	3093
904	29467	3060
905	29492	3027
906	29519	2994
907	29548	2961
908	29578	2928
909	29612	2896
910	29653	2864
911	29683	2831
912	29710	2798
913	29737	2765
914	29764	2732
915	29791	2699
916	29816	2666
917	29844	2633
918	29873	2600
919	29901	2567
920	29929	2534
921	29957	2501
922	29985	2468
923	30010	2435
924	30036	2402
925	30061	2369
926	30086	2336
927	30110	2303
928	30137	2270
929	30167	2238
930	30195	2205
931	30223	2172
932	30250	2139
933	30276	2107
934	30301	2074
935	30326	2041
936	30352	2008
937	30380	1975
938	30405	1942
939	30432	1910
940	30457	1877
941	30486	1844
942	30511	1811
943	30538	1779
944	30566	1746
945	30600	1714
946	30638	1682
947	30671	1650
948	30704	1617
949	30747	1585
950	30822	1555
951	30879	1524
952	30945	1493
953	30975	1461
954	31001	1428
955	31032	1395
956	31064	1363
957	31096	1330
958	31126	1298
959	31151	1265
960	31178	1232
961	31206	1200
962	31234	1167
963	31261	1135
964	31288	1102
965	31317	1069
966	31341	1037
967	31367	1004
968	31395	971
969	31422	939
970	31444	906
971	31469	874
972	31496	841
973	31523	809
974	31547	776
975	31578	744
976	31604	711
977	31633	679
978	31657	646
979	31683	614
980	31709	581
981	31736	549
982	31764	517
983	31794	484
984	31820	452
985	31844	419
986	31871	387
987	31896	355
988	31924	322
989	31947	290
990	31974	258
991	32002	225
992	32030	193
993	32062	161
994	32090	129
995	32121	96
996	32144	64
997	32171	32
998	32203	0
